,sa1,sa2,closing_date,list_price,sold_price,prop_type,year_built,sq_ft,bedrooms,bathrooms,sub_div,sub_area,taxes,school_district,garage_spaces,parking_spaces,basement,hoa_fees,financial_terms
17,576 S Elizabeth Street,"Denver, CO 80209","Apr 04, 2019","$11,500,000","$8,500,000",Single Family Residential,2006,20157,4,8,Polo Club,Polo Club,"$46,609",Denver 1,3,3,"Full, Finished, Interior Entry, Heated","$1,107",Conventional
18,24620 County Road 54,"Steamboat Springs, CO 80487","Oct 01, 2018","$8,900,000","$8,400,000",Single Family Residential,2000,8713,5,7,Steamboat Springs,Steamboat Springs,"$14,712",Steamboat Springs RE-2,3,3,"Finished, Interior Entry, Partial, Walk-Out Access",,Cash
19,12260 County Road 5,"Longmont, CO 80504","Oct 30, 2018","$10,555,800","$8,218,973",Single Family Residential,,3387,5,4,Newby Farms,Newby Farms,"$12,150",St. Vrain Valley RE-1J,2,2,,,"Cash, Conventional"
20,4 Cherry Hills Park Drive,"Cherry Hills Village, CO 80113","Feb 26, 2019","$9,900,000","$8,200,000",Single Family Residential,2018,19535,7,12,Cherry Hills Park 1,Cherry Hills Park 1,"$20,719",Cherry Creek 5,5,5,"Full, Finished, Interior Entry, Bath/Stubbed","$17,630",Cash
21,3840 Pleasant Ridge Road,"Boulder, CO 80301","Jul 12, 2018","$9,000,000","$8,137,400",Single Family Residential,2015,8218,4,6,Foothills East,Foothills East,"$2,724",Boulder Valley RE 2,4,4,"Full, Walk-Out Access",,"Cash, Conventional"
22,1019 S Foothills Highway,"Boulder, CO 80305","Mar 02, 2020","$10,000,000","$8,000,000",Single Family Residential,1960,2732,3,1,Eldorado Springs,Eldorado Springs,"$3,940",Boulder Valley RE 2,2,2,Full,,"Cash, Conventional"
23,29 Polo Club Circle,"Denver, CO 80209","Dec 04, 2020","$7,985,000","$8,000,000",Single Family Residential,2020,7910,4,7,Polo Club,Polo Club,"$13,038",Denver 1,4,4,"Finished, Partial, Walk-Out Access",$800,Cash
24,1810 Norwood Avenue,"Boulder, CO 80304","Apr 15, 2021","$8,500,000","$7,900,000",Single Family Residential,2019,5665,3,4,Jessops,Jessops,"$7,063",Boulder Valley RE 2,2,2,"Partial, Unfinished",,
25,3 Churchill Drive,"Cherry Hills Village, CO 80113","Jan 19, 2021","$8,650,000","$7,850,000",Single Family Residential,1940,14239,5,12,Cherry Hills Village,Cherry Hills Village,"$38,349",Cherry Creek 5,8,8,Finished,,Conventional
26,4175 S Humboldt Street,"Cherry Hills Village, CO 80113","Jan 26, 2021","$7,900,000","$7,800,000",Single Family Residential,2001,12106,6,10,Cherry Hills Village,Cherry Hills Village,"$38,648",Cherry Creek 5,4,4,"Full, Finished",,Cash
27,1700 17th Street,"Boulder, CO 80302","Nov 23, 2020","$8,250,000","$7,750,000",Multifamily,1972,15600,,,,,"$31,868",,,,,,Conventional
28,21 Sunset Drive,"Cherry Hills Village, CO 80113","Jan 19, 2021","$8,950,000","$7,600,000",Single Family Residential,2001,22591,7,10,Country Homes,Country Homes,"$58,472",Cherry Creek 5,5,5,Full,$820,
29,21 Sunset Drive,"Cherry Hills Village, CO 80113","Jan 19, 2021","$8,950,000","$7,600,000",Single Family Residential,2001,22591,7,10,Cherry Hills Village,Cherry Hills Village,"$58,472",Cherry Creek 5,5,5,"Full, Finished",$820,Conventional
30,21 Sunset Drive,"Cherry Hills Village, CO 80113","Jun 12, 2018","$8,900,000","$7,500,000",Single Family Residential,2001,22591,7,10,Cherry Hills Village,Cherry Hills Village,"$61,452",Cherry Creek 5,5,5,"Full, Finished",$820,Cash
31,61625 County Road 62,"Clark, CO 80428","Mar 27, 2020","$8,000,000","$7,450,000",Single Family Residential,1996,14759,6,9,,,"$21,532",Steamboat Springs RE-2,4,4,"Finished, Interior Entry, Partial",,Cash
32,7983 Valmont Road,"Boulder, CO 80301","Jan 03, 2020","$8,700,000","$7,400,000",Single Family Residential,2005,6122,4,6,Rural East Boulder,Rural East Boulder,"$17,287",Boulder Valley RE 2,2,2,"Crawl Space, None, Sump Pump",,
33,24170 Way Out West Trail,"Steamboat Springs, CO 80487","Apr 15, 2021","$7,700,000","$7,400,000",Single Family Residential,2017,5459,4,4,,,"$6,163",Steamboat Springs RE-2,3,3,,,Cash
34,7983 Valmont Road,"Boulder, CO 80301","Jan 03, 2020","$8,700,000","$7,400,000",Single Family Residential,2005,6122,4,6,Rural East Boulder,Rural East Boulder,"$16,764",Boulder Valley RE 2,2,2,"Crawl Space, None, Sump Pump",,Cash
35,2480 Saddle Notch Road,"Loveland, CO 80537","Feb 24, 2021","$7,500,000","$7,300,000",Single Family Residential,2004,10929,5,7,Loveland,Loveland,"$7,112",Thompson R2-J,3,3,Interior Entry,,Cash
36,4949 S Fairfax Street,"Cherry Hills Village, CO 80121","Nov 04, 2019","$9,950,000","$7,250,000",Single Family Residential,2004,17841,5,10,Cherry Hills Village,Cherry Hills Village,"$48,430",Cherry Creek 5,6,6,"Full, Finished, Walk-Out Access, Sump Pump",,Conventional
37,2158 Tamarack Avenue,"Boulder, CO 80304","Oct 09, 2020","$7,400,000","$7,200,000",Single Family Residential,2014,7254,5,5,Field Of Dreams,Field Of Dreams,"$17,113",Boulder Valley RE 2,3,3,,,"Cash, Conventional"
38,8165 N 73rd Street,"Niwot, CO 80503","Aug 19, 2019","$7,925,000","$7,200,000",Single Family Residential,2007,8051,5,6,Alpenglow Acres,Alpenglow Acres,"$17,678",St. Vrain Valley RE-1J,3,3,"Daylight, Walk-Out Access",,"Cash, Conventional"
39,2135 Knollwood Drive,"Boulder, CO 80302","Aug 29, 2019","$7,500,000","$7,200,000",Single Family Residential,2018,5075,3,5,Knollwood,Knollwood,"$26,856",Boulder Valley RE 2,2,2,Partial,,"Cash, Conventional"
40,2135 Knollwood Drive,"Boulder, CO 80302","Sep 11, 2019","$7,500,000","$7,200,000",Single Family Residential,2016,5075,3,5,Knollwood,Knollwood,"$26,856",Boulder Valley RE 2,2,2,"None, Sump Pump",,Cash
41,8165 N 73rd Street,"Niwot, CO 80503","Aug 19, 2019","$7,925,000","$7,200,000",Single Family Residential,2007,8051,5,6,Niwot,Niwot,"$17,678",St. Vrain Valley RE-1J,3,3,None,,Cash
42,18525 Us Highway 40,"Steamboat Springs, CO 80487","Oct 27, 2020","$6,557,000","$7,025,000",Single Family Residential,,5582,4,5,,,"$6,660",Hayden RE-1,3,3,None,,
43,18525 W Us Highway 40,"Steamboat Springs, CO 80487","Oct 27, 2020","$6,557,000","$7,025,000",Single Family Residential,2006,5582,4,5,,,"$6,660",Hayden RE-1,3,3,Crawl Space,,Cash
44,1489 Sunset Boulevard,"Boulder, CO 80304","Aug 03, 2020","$7,500,000","$7,000,000",Single Family Residential,2001,6471,7,7,Sunset Hill,Sunset Hill,"$27,788",Boulder Valley RE 2,2,2,Full,,
45,1155 County Road 14,"Kremmling, CO 80459","Oct 13, 2020","$7,900,000","$7,000,000",Single Family Residential,2004,,3,4,Grand River Ranch Amd & Restated,Grand River Ranch Amd & Restated,"$7,545",West Grand 1-JT,4,4,"Exterior Entry, Full, Finished","$49,615",Cash
46,532 Peerless Drive,"Breckenridge, CO 80424","Sep 15, 2020","$7,499,000","$7,000,000",Single Family Residential,2012,7656,6,8,Shock Hill,Shock Hill,"$25,997",Summit RE-1,3,3,"Finished, Walk-Out Access",$400,Cash
47,1489 Sunset Boulevard,"Boulder, CO 80304","Aug 03, 2020","$7,500,000","$7,000,000",Single Family Residential,2001,6471,7,7,Sunset Hill,Sunset Hill,"$26,842",Boulder Valley RE 2,2,2,Finished,,Cash
48,4545 S Holly Street,"Cherry Hills Village, CO 80111","Apr 29, 2019","$7,750,000","$7,000,000",Single Family Residential,1965,13257,6,7,Cherry Hills Village,Cherry Hills Village,"$26,350",Cherry Creek 5,8,8,"Finished, Partial",,Conventional
49,3 Countryside Lane,"Cherry Hills Village, CO 80121","Jun 22, 2018","$7,950,000","$6,950,000",Single Family Residential,2012,10070,4,7,Cherry Hills Village,Cherry Hills Village,"$27,839",Cherry Creek 5,4,4,"Finished, Partial",,Cash
50,4510 W Saint Clair Place,"Denver, CO 80212","Jul 01, 2019","$6,999,000","$6,900,000",Multifamily,1973,28728,,,Berkeley,Berkeley,"$32,323",Westminster Public Schools,,,None,,Conventional
51,6037 Highway 60,"Johnstown, CO 80534","Feb 15, 2019","$6,700,000","$6,800,000",Single Family Residential,,1944,3,1,,,"$4,122",Other,2,2,,,
52,1005 Gilbert Street,"Boulder, CO 80302","Dec 03, 2020","$6,800,000","$6,800,000",Single Family Residential,2014,5824,4,7,Geneva Park,Geneva Park,"$25,681",Boulder Valley RE 2,3,3,Partial,,
53,545 Circle Drive,"Denver, CO 80206","Nov 03, 2020","$6,795,000","$6,800,000",Single Family Residential,1942,8569,5,7,Country Club,Country Club,"$31,574",Denver 1,3,3,"Daylight, Full, Finished, Bath/Stubbed",,Cash
54,5800 Piedmont Drive,"Cherry Hills Village, CO 80111","Dec 14, 2018","$6,900,000","$6,800,000",Single Family Residential,2004,14731,7,12,Cherry Hills,Cherry Hills,"$33,711",Cherry Creek 5,9,9,"Crawl Space, Daylight, Full, Finished",,Cash
55,17905 County Road 16,"Oak Creek, CO 80467","Dec 15, 2020","$7,350,000","$6,750,000",Single Family Residential,2007,5705,5,6,,,"$10,044",South Routt RE-3,3,3,,,Cash
56,9268 S Perry Park Road,"Larkspur, CO 80118","Aug 21, 2018","$7,500,000","$6,750,000",Single Family Residential,2003,15592,4,7,Rural,Rural,"$9,155",Douglas RE-1,4,4,"Exterior Entry, Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access",,Cash
57,155 Steele Street Unit 1215,"Denver, CO 80206","Jun 05, 2019","$6,700,000","$6,742,620",Condo,2019,4761,3,4,Cherry Creek North,Cherry Creek North,,Denver 1,,,,"$2,362",Cash
58,14065 Highway 83,"Colorado Springs, CO 80921","Aug 07, 2020","$6,995,000","$6,700,000",Single Family Residential,1999,14653,7,9,Metes & Bounds,Metes & Bounds,"$36,929",Academy 20,7,7,"Finished, Partial, Walk-Out Access, Sump Pump",,Cash
59,327 Rockledge Road Unit W,"Vail, CO 81657","Jun 26, 2020","$7,245,000","$6,687,500",Multifamily,1987,3092,,,Vail Village,Vail Village,"$16,856",Eagle RE-50,1,1,"Crawl Space, None",,Cash
60,603 Highland Avenue,"Boulder, CO 80302","Dec 14, 2020","$7,300,000","$6,685,000",Single Family Residential,1890,5284,4,5,Mapleton Hill,Mapleton Hill,"$21,160",Boulder Valley RE 2,2,2,Partial,,
61,603 Highland Avenue,"Boulder, CO 80302","Dec 14, 2020","$7,300,000","$6,685,000",Single Family Residential,1890,5284,4,5,Mapleton Hill,Mapleton Hill,"$21,160",Boulder Valley RE 2,2,2,Finished,,Cash
62,2260 Meadow Avenue,"Boulder, CO 80304","Sep 28, 2020","$6,650,000","$6,650,000",Single Family Residential,2016,5704,5,5,Carolyn Heights,Carolyn Heights,"$16,687",Boulder Valley RE 2,3,3,Partial,,"Cash, Conventional"
63,10815 N 49th Street,"Longmont, CO 80503","Apr 19, 2021","$7,950,000","$6,650,000",Single Family Residential,2009,9401,4,7,,,"$19,406",St. Vrain Valley RE-1J,3,3,"Full, Walk-Out Access",,
64,8 Churchill Drive,"Cherry Hills Village, CO 80113","Feb 21, 2020","$7,950,000","$6,620,000",Single Family Residential,2009,19864,8,13,Cherry Hills Village,Cherry Hills Village,"$38,924",Cherry Creek 5,13,13,"Exterior Entry, Full, Finished, Walk-Out Access, Heated, Sump Pump",,Private
65,1845 Upland Avenue,"Boulder, CO 80304","May 29, 2020","$6,750,000","$6,600,000",Single Family Residential,2020,5632,6,7,,,"$9,103",Boulder Valley RE 2,4,4,"Crawl Space, None, Sump Pump",,"Cash, Conventional"
66,6122 Monarch Road,"Longmont, CO 80503","Mar 15, 2021","$6,950,000","$6,600,000",Single Family Residential,1978,6747,4,6,Foothills East,Foothills East,"$12,772",St. Vrain Valley RE-1J,3,3,Crawl Space,,
67,6122 Monarch Road,"Longmont, CO 80503","Mar 15, 2021","$6,950,000","$6,600,000",Single Family Residential,1978,6747,4,6,Foothills East,Foothills East,"$12,772",St. Vrain Valley RE-1J,3,3,Crawl Space,,Cash
68,4500 E Belleview Avenue,"Greenwood Village, CO 80121","Dec 02, 2019","$6,500,000","$6,500,000",Single Family Residential,1947,4776,5,5,Greenwood Village,Greenwood Village,"$34,737",Cherry Creek 5,1,1,None,,Cash
69,6900 W Lakeridge Road,"Lakewood, CO 80227","Aug 13, 2018","$14,000,000","$6,490,000",Single Family Residential,1932,19373,11,9,Denver,Denver,"$10,768",Jefferson County R-1,6,6,"Crawl Space, Full, Finished",,Cash
70,1357 S Cherryvale Road,"Boulder, CO 80303","Mar 05, 2021","$6,650,000","$6,450,000",Single Family Residential,2019,6247,4,5,Wildflower Ranch,Wildflower Ranch,"$24,489",Boulder Valley RE 2,3,3,,,
71,1357 S Cherryvale Road,"Boulder, CO 80303","Mar 05, 2021","$6,650,000","$6,450,000",Single Family Residential,2019,6247,4,5,Wildflower Ranch,Wildflower Ranch,"$24,489",Boulder Valley RE 2,3,3,"Full, Partial",,Cash
72,2299 4th Street,"Boulder, CO 80302","Apr 15, 2021","$6,400,000","$6,400,000",Single Family Residential,2012,4789,5,4,Mapleton Park,Mapleton Park,"$24,081",Boulder Valley RE 2,2,2,"Crawl Space, Full, Walk-Out Access",,
73,1975 S Decatur Street,"Denver, CO 80219","Aug 15, 2018","$6,300,000","$6,300,000",Multifamily,1981,37568,,,Evans Park Estates,Evans Park Estates,"$33,814",Denver 1,2,2,None,,Conventional
74,2016-2018 Bryant Street,"Denver, CO 80211","Dec 28, 2020","$6,390,000","$6,250,000",Multifamily,2020,19181,,,,,"$1,266",,12,12,,,Private
75,4101 S Colorado Boulevard,"Cherry Hills Village, CO 80113","Feb 03, 2020","$6,875,000","$6,250,000",Single Family Residential,2014,9720,5,9,Cherry Hills,Cherry Hills,"$29,557",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",,Cash
76,33600 Trout Meadow Road,"Oak Creek, CO 80467","Aug 29, 2019","$5,750,000","$6,250,000",Single Family Residential,2007,6507,5,7,Metes & Bounds,Metes & Bounds,"$11,290",Steamboat Springs RE-2,3,3,"Full, Finished, Walk-Out Access",,Cash
77,510 Juniper Avenue,"Boulder, CO 80304","Oct 09, 2020","$6,200,000","$6,200,000",Single Family Residential,2020,7313,5,7,Foothills,Foothills,"$5,907",Boulder Valley RE 2,2,2,,,"Cash, Conventional"
78,27795 County Road 14,"Steamboat Springs, CO 80487","Oct 25, 2018","$6,900,000","$6,150,000",Single Family Residential,2000,11100,5,7,,,"$22,149",South Routt RE-3,3,3,"Exterior Entry, Full, Finished, Walk-Out Access, Heated",,Conventional
79,1225 Colorado Boulevard,"Denver, CO 80206","Oct 23, 2019","$6,350,000","$6,075,000",Multifamily,1945,20210,,,Congress Park,Congress Park,"$27,140",Denver 1,,,"Apartment, Full, Finished",,Conventional
80,1145 N Sherman Street,"Denver, CO 80203","Jan 28, 2020","$6,200,000","$6,000,000",Multifamily,1927,11776,,,Capitol Hill,Capitol Hill,"$32,186",Denver 1,,,None,,Cash
81,County 77 Road,"Lake George, CO 80824","Mar 19, 2019","$6,000,000","$6,000,000",Single Family Residential,1860,1878,3,1,Lake George,Lake George,"$1,497",Park County RE-2,,,None,,Cash
82,2299 4th Street,"Boulder, CO 80302","Oct 14, 2020","$6,200,000","$5,995,000",Single Family Residential,2013,5365,5,4,Mapleton Hill,Mapleton Hill,"$23,714",Boulder Valley RE 2,2,2,Full,,
83,4101 S Colorado Boulevard,"Cherry Hills Village, CO 80113","Jul 24, 2020","$5,985,000","$5,985,000",Single Family Residential,2014,9720,5,9,Cherry Hills Village,Cherry Hills Village,"$33,313",Cherry Creek 5,3,3,"Finished, Interior Entry, Partial",,Cash
84,515 Race Street,"Denver, CO 80206","Nov 12, 2020","$5,975,000","$5,975,000",Single Family Residential,1928,8665,6,7,Park Lane Square,Park Lane Square,"$29,148",Denver 1,3,3,Partial,,Cash
85,6495 Long Ridge Court,"Toponas, CO 80479","Jun 26, 2019","$7,500,000","$5,956,250",Single Family Residential,2011,6716,5,6,King Creek Rach,King Creek Rach,"$5,345",South Routt RE-3,2,2,None,,Conventional
86,3120 Bears Den Drive,"Sedalia, CO 80135","Nov 06, 2020","$6,250,000","$5,925,000",Single Family Residential,2012,9111,5,8,Bears Den,Bears Den,"$16,213",Douglas RE-1,5,5,"Exterior Entry, Full, Finished, Interior Entry, Walk-Out Access, Sump Pump",$900,Conventional
87,1014 Mapleton Avenue,"Boulder, CO 80304","Mar 02, 2020","$5,495,000","$5,910,000",Single Family Residential,1890,5358,5,5,Boulder Ot East & West & North,Boulder Ot East & West & North,"$13,889",Boulder Valley RE 2,2,2,Full,,
88,19675 County Road 16,"Oak Creek, CO 80467","Feb 26, 2020","$5,950,000","$5,800,000",Single Family Residential,1967,1847,3,2,,,"$2,664",South Routt RE-3,4,4,None,,Cash
89,8283 N 39th Street,"Longmont, CO 80503","Jan 15, 2021","$5,950,000","$5,785,000",Single Family Residential,2008,7294,4,7,Foothills East,Foothills East,"$26,787",St. Vrain Valley RE-1J,2,2,None,,
90,2910 N Lakeridge Trail,"Boulder, CO 80302","Jul 24, 2019","$6,275,000","$5,779,000",Single Family Residential,1985,7704,5,7,Lake Of The Pines,Lake Of The Pines,,St. Vrain Valley RE-1J,3,3,,"$2,000","Cash, Conventional"
91,2910 N Lakeridge Trail,"Boulder, CO 80302","Jul 24, 2019","$6,275,000","$5,779,000",Single Family Residential,1985,7704,5,7,Lake Of The Pines,Lake Of The Pines,"$22,502",St. Vrain Valley RE-1J,3,3,"Exterior Entry, Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access, Heated",$500,Cash
92,33570 Watersong Lane,"Steamboat Springs, CO 80487","Sep 03, 2020","$6,595,000","$5,700,000",Single Family Residential,2001,5255,4,5,Storm Mountain Ranch,Storm Mountain Ranch,"$13,970",Steamboat Springs RE-2,3,3,,"$4,576",Conventional
93,985 Gilbert Street,"Boulder, CO 80302","Sep 18, 2020","$5,950,000","$5,675,000",Single Family Residential,1991,6712,5,6,Geneva Park,Geneva Park,"$20,547",Boulder Valley RE 2,3,3,Full,,"Cash, Conventional"
94,210 Vine Street,"Denver, CO 80206","Jun 07, 2018","$5,995,000","$5,668,830",Single Family Residential,1928,9512,5,9,Country Club,Country Club,"$29,947",Denver 1,3,3,"Full, Finished",,Cash
95,40 Polo Club Circle,"Denver, CO 80209","Mar 29, 2021","$5,900,000","$5,650,000",Single Family Residential,2006,13043,5,8,Polo Club,Polo Club,"$31,067",Denver 1,3,3,"Full, Finished",$850,Conventional
96,1625 E 3rd Avenue,"Denver, CO 80218","Sep 12, 2019","$6,250,000","$5,650,000",Single Family Residential,1909,8387,5,7,Denver Country Club,Denver Country Club,"$23,042",Denver 1,4,4,"Full, Finished, Interior Entry, Heated",,Cash
97,1243 Anglers Drive,"Steamboat Springs, CO 80487","Jun 20, 2019","$5,750,000","$5,625,000",Single Family Residential,2016,7555,6,7,Fish Creek Meadows,Fish Creek Meadows,"$14,307",Steamboat Springs RE-2,3,3,Full,$100,Conventional
98,2301 E Alameda Avenue,"Denver, CO 80209","Sep 17, 2019","$5,750,000","$5,611,000",Single Family Residential,1932,7696,4,7,Country Club South,Country Club South,"$21,684",Denver 1,4,4,"Finished, Interior Entry, Partial","$2,400",Conventional
99,33850 County Road 14,"Steamboat Springs, CO 80487","Oct 23, 2020","$5,750,000","$5,600,000",Single Family Residential,2016,3547,4,3,No Defined Development,No Defined Development,"$11,681",Steamboat Springs RE-2,3,3,,,Cash
100,380 N Gilpin Street,"Denver, CO 80218","Feb 05, 2021","$5,995,000","$5,575,000",Single Family Residential,1927,10073,6,9,Country Club,Country Club,"$20,207",Denver 1,3,3,"Exterior Entry, Full, Finished, Interior Entry, Heated",,Conventional
101,50430 County Road 56a,"Steamboat Springs, CO 80487","Jul 09, 2020","$5,525,000","$5,525,000",Single Family Residential,1996,6402,5,6,Metes And Bounds,Metes And Bounds,"$6,726",Steamboat Springs RE-2,5,5,,,Item1031Exchange
102,1133 14th Street Unit 4100,"Denver, CO 80202","Aug 15, 2019","$6,245,000","$5,525,000",Condo,2010,5092,3,4,Downtown,Downtown,"$24,468",Denver 1,,,None,"$4,675",Cash
103,385 N Gilpin Street,"Denver, CO 80218","Feb 23, 2021","$5,500,000","$5,500,000",Single Family Residential,1926,7018,5,5,Country Club,Country Club,"$20,061",Denver 1,3,3,Partial,,Conventional
104,1515 Sunset Boulevard,"Boulder, CO 80304","Jul 02, 2019","$5,500,000","$5,500,000",Single Family Residential,2017,5329,6,5,Sunset Hill,Sunset Hill,"$5,327",Boulder Valley RE 2,2,2,"Full, Walk-Out Access",,"Cash, Conventional"
105,161 Race Street,"Denver, CO 80206","Oct 26, 2020","$5,500,000","$5,500,000",Single Family Residential,1919,8918,5,8,Country Club,Country Club,"$32,328",Denver 1,2,2,Partial,,Conventional
106,10 South Lane,"Cherry Hills Village, CO 80113","Sep 06, 2020","$5,500,000","$5,500,000",Single Family Residential,2017,9324,5,7,Old Cherry Hills Village,Old Cherry Hills Village,"$19,113",Cherry Creek 5,7,7,"Full, Finished, Sump Pump",,Cash
107,18 Borealis Way,"Castle Rock, CO 80108","Oct 30, 2020","$5,500,000","$5,500,000",Single Family Residential,1990,15212,5,8,Castle Pines Village,Castle Pines Village,"$31,889",Douglas RE-1,9,9,"Crawl Space, Daylight, Exterior Entry, Full, Finished, Interior Entry, Bath/Stubbed, Walk-Out Access",$300,Cash
108,1515 Sunset Boulevard,"Boulder, CO 80304","Jul 02, 2019","$5,500,000","$5,500,000",Single Family Residential,2017,5329,6,5,Boulder,Boulder,"$5,327",Boulder Valley RE 2,2,2,"Full, Walk-Out Access",,Conventional
109,1 Haystack Row,"Cherry Hills Village, CO 80113","Apr 19, 2019","$5,500,000","$5,500,000",Single Family Residential,2002,16104,6,9,Buell Mansion,Buell Mansion,"$31,333",Cherry Creek 5,4,4,"Full, Finished, Sump Pump",$599,Cash
110,155 Steele Street Unit 1217,"Denver, CO 80206","Apr 16, 2019","$5,403,850","$5,434,891",Condo,2019,3816,3,4,Laurel,Laurel,$1,Denver 1,4,4,,"$1,750",Cash
111,5080 E Quincy Avenue,"Cherry Hills Village, CO 80113","Jun 13, 2018","$6,450,000","$5,425,000",Single Family Residential,2008,11422,5,10,Cherry Hills,Cherry Hills,"$40,702",Cherry Creek 5,4,4,"Full, Finished",,Cash
112,2680 3rd Street,"Boulder, CO 80304","Apr 15, 2021","$5,400,000","$5,400,000",Single Family Residential,2021,5764,5,6,Trailhead Sub,Trailhead Sub,"$14,956",Boulder Valley RE 2,2,2,Full,$800,
113,2 Cove Lane,"Littleton, CO 80123","Jan 19, 2021","$5,400,000","$5,400,000",Single Family Residential,2009,7958,6,6,Bow Mar South,Bow Mar South,"$20,239",Littleton 6,3,3,,"$1,600",Cash
114,238 Timber Trail Road,"Breckenridge, CO 80424","Sep 03, 2020","$5,995,000","$5,400,000",Single Family Residential,2008,7200,7,9,Timber Trail,Timber Trail,"$31,814",Summit RE-1,4,4,Walk-Out Access,$350,Cash
115,155 Steele Street Unit 1115,"Denver, CO 80206","Nov 12, 2019","$4,988,000","$5,359,975",Condo,2018,3518,3,4,Laurel,Laurel,$1,Denver 1,3,3,,"$1,612",Conventional
116,561 Crystal Ridge Road,"Evergreen, CO 80439","Mar 18, 2021","$5,725,000","$5,300,000",Single Family Residential,2015,9286,4,6,Crystal Ridge,Crystal Ridge,"$11,736",Clear Creek RE-1,3,3,"Exterior Entry, Finished, Partial",,Cash
